city,time_period,total_points,outliers_iqr_count,outliers_iqr_pct,outliers_zscore_count,outliers_zscore_pct,mean_temp,std_temp,min_temp,max_temp
"Abingdon, VA",af,18612,103,0.5534064044702343,0,0.0,84.91416183107673,1.7049647990087198,79.87,89.87
"Albuquerque, NM",af,41550,25,0.060168471720818295,0,0.0,99.35346666666666,1.7089951887077017,94.59,104.15
"Albuquerque, NM",am,27439,257,0.9366230547760488,0,0.0,71.24420277706913,2.1642710362274773,65.1,77.22
"Arlington, VA",am,10810,0,0.0,1,0.009250693802035153,71.80703977798335,1.196767519270125,68.9,75.4
"Asheville, NC",af,17675,880,4.978783592644978,329,1.8613861386138613,83.55043603916799,1.995199933362,74.26686632247062,92.15855986023394
"Asheville, NC",am,22153,62,0.2798718006590529,11,0.04965467431047713,64.22378253485311,1.1306114308266568,60.68074190712568,66.6366336610114
"Asheville, NC",pm,17573,152,0.8649632959654016,17,0.09673931599613043,78.93966173575876,2.141355787455231,72.182287030666,85.28802115488506
"Atlanta, GA",af,23386,78,0.333532882921406,9,0.03848456341400838,82.06213332763191,1.5524725256179077,77.68,86.86
"Atlanta, GA",am,26830,991,3.6936265374580697,152,0.5665300037271711,60.48608237048081,1.4902498660830217,56.68,65.26
"Atlanta, GA",pm,24664,9,0.03649043139798897,7,0.02838144664288031,76.290281381771,2.611571430695725,69.99,84.47
"Austin, TX",af,28652,103,0.35948624877844476,103,0.35948624877844476,95.9874745218484,0.855497550835935,93.02,100.03999999999999
"Austin, TX",am,28125,248,0.8817777777777779,52,0.18488888888888888,75.3534464,1.4206836193632413,70.88,78.62
"Austin, TX",pm,24779,347,1.4003793534848057,78,0.3147826788813108,93.7881690140845,0.9993934725489477,90.86000000000001,97.52
"Baltimore, MD",af,47455,1574,3.316826467179433,583,1.2285322937519756,95.11990264461069,1.9346629451159396,86.18,104.53999999999999
"Baltimore, MD",am,50094,65,0.12975605860981354,54,0.10779734099892202,78.36521379805964,1.7658759004913385,72.32,84.91999999999999
"Baltimore, MD",pm,50262,1456,2.896820659742947,444,0.8833711352512832,89.31193625402891,1.943739619149184,81.14,96.26
"Bloomington, IN",af,9211,425,4.614048420366953,160,1.7370535229616761,88.59476712626207,1.6982025332814767,81.1,93.5
"Bloomington, IN",am,9481,52,0.5484653517561439,13,0.13711633793903596,68.39048623562915,1.214350167946939,63.8,72.1
"Bloomington, IN",pm,9229,928,10.055260591613392,227,2.459638097301983,86.38383356810054,1.8521773819231702,79.0,90.1
"Boise, ID",af,19297,589,3.052287920402135,299,1.5494636471990464,90.58856817121833,1.255172256839505,85.64,98.96
"Boise, ID",am,22795,321,1.4082035534108357,47,0.2061855670103093,57.99711691160342,2.8286188119942772,50.9,67.28
"Boise, ID",pm,22069,360,1.6312474511758577,145,0.657030223390276,90.09027142145091,1.725092549784954,82.94,96.08
"Boston, MA",af,17029,318,1.8674026660402843,143,0.839743966175348,91.29562980797463,1.5760276337593133,87.26,102.56
"Boston, MA",am,20062,33,0.16449008074967603,26,0.12959824543913867,75.08857441930017,1.4585002708246613,71.6,84.38
"Boston, MA",pm,20247,245,1.210055810737393,165,0.8149355460068157,84.77456512075864,1.5246374659804938,78.62,91.58
"Boulder, CO",af,9206,392,4.25809254833804,54,0.5865739734955464,95.74363458613949,1.3312689404570892,91.9,101.2
"Boulder, CO",pm,6307,45,0.7134929443475504,9,0.1426985888695101,86.64956397653401,1.28083693485008,82.9,90.8
"Brockton, MA",af,10090,199,1.9722497522299307,133,1.3181367690782952,86.60595639246779,1.515052718365414,79.7,92.7
"Brockton, MA",am,9775,192,1.9641943734015344,48,0.4910485933503836,64.55549872122764,0.873374379944318,61.8,67.3
"Brockton, MA",pm,8318,411,4.94109160855975,147,1.7672517432075017,81.63827843231546,1.5008097576731532,75.2,85.8
"Bronx and Manhattan, NY",af,12309,13,0.10561377853603054,0,0.0,83.19025834755057,1.3510466233657463,79.54,87.02
"Bronx and Manhattan, NY",am,14942,488,3.2659617186454293,0,0.0,70.95773122741265,1.4101493186292353,67.02,74.34
"Bronx and Manhattan, NY",pm,15135,1,0.006607201850016519,0,0.0,78.79983085563264,1.1097011078933032,75.68,81.88
"Brooklyn, NY",af,15105,91,0.6024495200264813,36,0.23833167825223436,90.05407480966566,1.3946920632782727,85.4,95.4
"Brooklyn, NY",am,16767,692,4.127154529731019,238,1.4194548816126915,77.63599332021232,0.7275823239507648,73.9,80.4
"Brooklyn, NY",pm,9219,55,0.5965939906714395,17,0.18440177893480855,87.78699425100335,0.9017820283357154,85.0,91.0
"Buffalo and Erie County, NY",af,19363,112,0.5784227650673965,97,0.500955430460156,87.61808087589732,1.5629023761871765,81.9,92.7
"Buffalo and Erie County, NY",am,19599,1444,7.367722843002195,622,3.173631307719781,71.46495229348437,2.2531833780201276,60.4,74.8
"Buffalo and Erie County, NY",pm,19455,14,0.0719609354921614,25,0.1285016705217168,85.51145720894371,1.4881448106768398,80.0,89.4
"Burlington, VT",af,16136,288,1.7848289538919186,142,0.8800198314328209,85.22678978681209,1.0066275454728595,79.88,89.42
"Burlington, VT",am,18877,12,0.0635694231074853,14,0.07416432695873286,67.38827461990782,0.733626690644037,65.30000000000001,70.7
"Charleston, SC",af,18957,151,0.7965395368465475,21,0.11077702168064568,91.83155193332279,1.4507942200283,87.35,95.93
"Charleston, SC",am,23401,422,1.803341737532584,0,0.0,81.94088030426052,0.8085118379255923,79.7,84.17
"Charlotte, NC",af,23558,263,1.1163935817981152,62,0.2631802360132439,94.95851090924528,2.4953461102579477,86.3,105.0
"Charlotte, NC",am,24387,211,0.8652150736047893,0,0.0,77.11825152745314,1.6161883803194121,72.7,81.9
"Charlotte, NC",pm,22958,125,0.5444725150274414,85,0.37024131021866014,92.72016726195662,2.0186986619429805,85.3,98.5
"Charlottesville, VA",af,10250,138,1.3463414634146342,0,0.0,93.34940390243902,1.1279672395278977,90.14,96.4
"Charlottesville, VA",am,12298,9,0.07318263132216621,0,0.0,71.66068872987478,1.2073688097308313,68.44,74.98
"Charlottesville, VA",pm,11853,25,0.21091706740909477,0,0.0,87.13838774993673,2.049242521476738,81.31,91.31
"Chicago, IL",af,48855,2820,5.7721829904820385,1265,2.589294852113397,91.83454712926007,2.4876789880580086,77.1,99.1
"Chicago, IL",am,39744,389,0.9787640901771336,100,0.25161030595813205,76.11173762077294,1.0704832272260403,72.7,81.1
"Cincinnati, OH",af,23480,207,0.8816013628620102,70,0.2981260647359455,83.53300340715502,1.3390307747252501,78.80000000000001,88.34
"Cincinnati, OH",am,25274,304,1.2028171243174803,23,0.09100261137928306,70.4224222521168,1.4623460706334057,66.02,74.66
"Cincinnati, OH",pm,26413,653,2.4722674440616363,323,1.2228826714118048,83.51780184000303,1.6259796027404585,77.18,89.06
"Clark County, NV",af,37355,119,0.31856511845803775,18,0.04818632043903092,90.20414670057555,1.9492474080523947,85.3,96.4
"Clarksville, IN",af,6921,11,0.15893656985984686,0,0.0,91.4294451668834,1.1889778969564853,88.2,94.76
"Clarksville, IN",pm,7473,143,1.9135554663455105,0,0.0,89.87808109193094,1.2656050092570281,86.15,93.42
"Columbia, MO",af,12404,6,0.04837149306675266,6,0.04837149306675266,97.1344243792325,1.065627126632091,94.0,100.5
"Columbia, MO",am,10858,160,1.4735678762202984,41,0.3776017682814515,79.58951924848039,0.6718977674593375,77.2,81.5
"Columbia, MO",pm,10149,190,1.8721056261700662,90,0.8867868755542417,93.38376194698985,1.1504253849117196,88.1,97.1
"Columbia, SC",af,18529,843,4.549624912299639,344,1.8565491931566733,93.25740191051865,2.6470643177475326,81.7,100.2
"Columbia, SC",am,27927,439,1.57195545529416,46,0.16471515021305547,76.24817560067318,1.4267543761289858,72.5,82.0
"Columbia, SC",pm,25416,26,0.1022977651872836,21,0.0826251180358829,83.36446726471513,1.6182444184687996,77.8,87.5
"Columbus, OH",af,37656,192,0.5098789037603569,97,0.257595071170597,79.37160080730827,1.3522168013548548,74.4,85.0
"Columbus, OH",am,41348,410,0.9915836316145885,163,0.3942149559833607,59.0348868143562,1.7070410680324553,52.2,64.3
"Columbus, OH",pm,33170,2696,8.127826349110642,786,2.3696110943623756,76.4778353934278,1.9179093778663818,68.1,81.3
"Detroit, MI",af,43719,833,1.9053500766257232,169,0.3865596193874517,82.63498936389212,1.0108764488823836,79.16,87.44
"Detroit, MI",am,46178,2983,6.459786045302958,143,0.30967127203430206,61.31805448481961,2.0984208500655193,56.66,68.18
"Detroit, MI",pm,41528,430,1.0354459641687537,226,0.5442111346561357,79.62924918127528,0.94972615401175,76.82,84.56
"East Multnomah County, OR",af,10771,93,0.8634295794262371,0,0.0,92.31405162009099,1.2841329584404582,88.7,95.8
